SampleID,labelID,rep,HF,Depth,WHC,inoculant_added_g,stir,sample_mass_g,KOH_concentration_M,KOH_volume_mL,start_date,start_time,end_time,EC_raw_ms/cm,EC_final_8wk_ms/cm,T,EC_sat_ms/cm,C-CO2_g,note,
1,46,2,High,Surface,55%,2.05,y,15,0.05,15,2/21/23,3:00,,10.4,5.099,23.1,5.4596,0.004832881,a. record the time,
2,47,2,High,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.926,,5.4596,0.000432142,b. add inoculant,
3,48,2,High,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.967,,5.4596,0.000394763,c. stir the sample with a bar,
4,49,2,High,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.896,,5.4596,0.000459493,d. place the sample vial in,
5,50,2,High,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.959,,5.4596,0.000402056,e. add 5ml water,
6,51,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.893,,5.4596,0.000462228,"f. pump 1 vial KOH, place in",
7,52,2,High,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.921,,5.4596,0.000436701,g. screw the cap tight,
8,53,2,High,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,10.02,23,5.4596,0.000346443,each end time is when I put the batch of jars in the incubator,
9,54,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.902,22.5,5.4596,0.000454023,we need to make 2L 0.05M KOH!!! And 3L CO2 free water for the KOH and incubation!!!!,
10,55,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.874,22.3,5.4596,0.00047955,have a lot of KOH in the bottle can avoid bubble up,
11,56,2,High,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.687,22.1,5.4596,0.000650037,,
12,57,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.757,22.4,5.4596,0.000586218,,
13,58,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.692,22.2,5.4596,0.000645478,,
14,59,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.587,22.3,5.4596,0.000741206,,
15,60,2,High,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.745,22.2,5.4596,0.000597159,,
B1-2,B1-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,3:39,10.4,10.01,22.1,5.4596,0.00035556,,
16,61,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,3:57,,10.4,10.1,22.9,5.4596,0.000273508,,
17,62,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.904,23.8,5.4596,0.000452199,,
18,63,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.92,,5.4596,0.000437612,,
19,64,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.935,,5.4596,0.000423937,,
20,65,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.945,23.5,5.4596,0.00041482,,
21,66,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.665,23.3,5.4596,0.000670094,,
22,67,2,Low,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.886,22.7,5.4596,0.00046861,,
23,68,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.629,23.1,5.4596,0.000702915,,
24,69,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.709,23,5.4596,0.000629979,,
25,70,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.837,22.5,5.4596,0.000513283,,
26,71,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.942,22.5,5.4596,0.000417555,,
27,72,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.9,22.3,5.4596,0.000455846,,
28,73,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.879,22.2,5.4596,0.000474992,,
29,74,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.842,,5.4596,0.000508724,,
30,75,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.825,,5.4596,0.000524223,,
B2-2,B2-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,4:37,10.4,10.26,21.9,5.4596,0.000127637,,
31,76,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,4:54,,10.4,9.748,23.2,5.4596,0.000594423,,
32,77,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.811,23.1,5.4596,0.000536987,,
33,78,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.735,23.4,5.4596,0.000606275,,
34,79,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.846,23,5.4596,0.000505078,,
35,80,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.804,22.6,5.4596,0.000543369,,
36,81,2,Control,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.4,9.748,22.9,5.4596,0.000594423,,
37,82,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.719,23,5.4596,0.000620863,,
38,83,2,Control,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.4,9.755,22.6,5.4596,0.000588042,,
39,84,2,Control,1 cm,55%,2.05,y,15.02,0.05,15,2/21/23,,,10.4,9.92,22.7,5.4596,0.000437612,,
40,85,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.857,22.8,5.4596,0.000495049,,
41,86,2,Control,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.4,9.88,,5.4596,0.00047408,,
